Temperatura: 27.90°C | Umidade: 60.50%
Temperatura: 26.30°C | Umidade: 61.20%
Temperatura: 26.20°C | Umidade: 60.90%
Temperatura: 26.10°C | Umidade: 60.60%
Temperatura: 26.00°C | Umidade: 60.30%
Temperatura: 25.80°C | Umidade: 60.10%
Temperatura: 25.80°C | Umidade: 60.20%
Temperatura: 25.80°C | Umidade: 60.60%
Temperatura: 25.70°C | Umidade: 61.10%
Temperatura: 25.50°C | Umidade: 61.00%
Temperatura: 25.30°C | Umidade: 60.80%
Temperatura: 25.10°C | Umidade: 60.60%
Temperatura: 25.10°C | Umidade: 60.90%
Temperatura: 24.90°C | Umidade: 61.00%
Temperatura: 24.80°C | Umidade: 61.20%
Temperatura: 24.50°C | Umidade: 61.50%
Temperatura: 24.30°C | Umidade: 61.60%
Temperatura: 24.00°C | Umidade: 61.70%
Temperatura: 24.00°C | Umidade: 61.70%
Temperatura: 24.00°C | Umidade: 62.00%
Temperatura: 23.80°C | Umidade: 62.30%
Temperatura: 23.80°C | Umidade: 62.50%
Temperatura: 23.80°C | Umidade: 63.20%
Temperatura: 23.50°C | Umidade: 63.30%
Temperatura: 23.10°C | Umidade: 63.20%
Temperatura: 22.80°C | Umidade: 63.30%
Temperatura: 22.60°C | Umidade: 63.40%
Temperatura: 22.40°C | Umidade: 63.80%
Temperatura: 22.20°C | Umidade: 64.00%
Temperatura: 22.00°C | Umidade: 64.40%
Temperatura: 21.80°C | Umidade: 64.60%
Temperatura: 21.60°C | Umidade: 64.90%
Temperatura: 21.40°C | Umidade: 65.20%
Temperatura: 21.20°C | Umidade: 65.60%
Temperatura: 21.10°C | Umidade: 65.90%
Temperatura: 20.90°C | Umidade: 66.30%
Temperatura: 20.70°C | Umidade: 66.80%
Temperatura: 20.60°C | Umidade: 67.20%
Temperatura: 20.40°C | Umidade: 67.50%
Temperatura: 20.30°C | Umidade: 67.80%
Temperatura: 20.00°C | Umidade: 68.10%
Temperatura: 19.90°C | Umidade: 68.30%
Temperatura: 19.60°C | Umidade: 68.50%
Temperatura: 19.50°C | Umidade: 68.60%
Temperatura: 19.30°C | Umidade: 68.70%
Temperatura: 19.10°C | Umidade: 68.80%
Temperatura: 18.80°C | Umidade: 68.90%
Temperatura: 18.60°C | Umidade: 68.90%
Temperatura: 18.30°C | Umidade: 69.00%
Temperatura: 18.00°C | Umidade: 69.00%
Temperatura: 18.00°C | Umidade: 69.30%
Temperatura: 17.70°C | Umidade: 69.70%
Temperatura: 17.50°C | Umidade: 69.90%
Temperatura: 17.10°C | Umidade: 70.00%
Temperatura: 17.00°C | Umidade: 70.20%
Temperatura: 16.80°C | Umidade: 70.40%
Temperatura: 16.60°C | Umidade: 70.50%
Temperatura: 16.40°C | Umidade: 70.70%
Temperatura: 16.20°C | Umidade: 70.80%
Temperatura: 16.00°C | Umidade: 71.00%
Temperatura: 15.90°C | Umidade: 71.10%
Temperatura: 15.70°C | Umidade: 71.20%
Temperatura: 15.50°C | Umidade: 71.40%
Temperatura: 15.40°C | Umidade: 71.40%
Temperatura: 15.20°C | Umidade: 71.70%
Temperatura: 15.10°C | Umidade: 71.80%
Temperatura: 14.90°C | Umidade: 72.10%
Temperatura: 14.80°C | Umidade: 72.30%
Temperatura: 14.80°C | Umidade: 72.60%
Temperatura: 14.70°C | Umidade: 72.90%
Temperatura: 14.60°C | Umidade: 73.20%
Temperatura: 14.50°C | Umidade: 73.40%
Temperatura: 14.40°C | Umidade: 73.70%
Temperatura: 14.40°C | Umidade: 73.90%
Temperatura: 14.30°C | Umidade: 74.10%
Temperatura: 14.20°C | Umidade: 74.40%
Temperatura: 14.20°C | Umidade: 74.60%
Temperatura: 14.30°C | Umidade: 74.90%
Temperatura: 14.20°C | Umidade: 75.20%
Temperatura: 14.20°C | Umidade: 75.50%
Temperatura: 14.10°C | Umidade: 75.60%
Temperatura: 14.10°C | Umidade: 75.80%
Temperatura: 14.10°C | Umidade: 75.90%
Temperatura: 14.10°C | Umidade: 76.10%
Temperatura: 14.00°C | Umidade: 76.20%
Temperatura: 14.10°C | Umidade: 76.30%
Temperatura: 14.00°C | Umidade: 76.40%
Temperatura: 14.00°C | Umidade: 76.50%
Temperatura: 14.00°C | Umidade: 76.60%
Temperatura: 14.10°C | Umidade: 76.70%
Temperatura: 14.10°C | Umidade: 76.90%
Temperatura: 14.10°C | Umidade: 77.00%
Temperatura: 14.10°C | Umidade: 77.10%
Temperatura: 14.10°C | Umidade: 77.20%
Temperatura: 14.10°C | Umidade: 77.20%
Temperatura: 14.10°C | Umidade: 77.30%
Temperatura: 14.10°C | Umidade: 77.30%
Temperatura: 14.10°C | Umidade: 77.40%
Temperatura: 14.10°C | Umidade: 77.50%
Temperatura: 14.40°C | Umidade: 77.70%
Temperatura: 14.60°C | Umidade: 78.40%
Temperatura: 15.60°C | Umidade: 80.10%
Temperatura: 16.20°C | Umidade: 81.50%
Temperatura: 16.70°C | Umidade: 83.20%
Temperatura: 16.90°C | Umidade: 84.40%
Temperatura: 16.90°C | Umidade: 85.60%
Temperatura: 17.00°C | Umidade: 86.50%
Temperatura: 17.40°C | Umidade: 87.40%
Temperatura: 17.60°C | Umidade: 88.10%
Temperatura: 19.00°C | Umidade: 88.90%
Temperatura: 20.10°C | Umidade: 89.70%
Temperatura: 20.70°C | Umidade: 90.20%
Temperatura: 21.20°C | Umidade: 90.70%
Temperatura: 21.40°C | Umidade: 91.00%
Temperatura: 21.70°C | Umidade: 91.40%
Temperatura: 21.90°C | Umidade: 91.60%
Temperatura: 22.00°C | Umidade: 91.80%
Temperatura: 22.10°C | Umidade: 91.90%
Temperatura: 22.20°C | Umidade: 91.90%
Temperatura: 22.40°C | Umidade: 91.80%
Temperatura: 22.60°C | Umidade: 91.50%
Temperatura: 22.80°C | Umidade: 90.90%
Temperatura: 22.90°C | Umidade: 90.50%
Temperatura: 23.10°C | Umidade: 89.80%
Temperatura: 23.20°C | Umidade: 89.20%
Temperatura: 23.20°C | Umidade: 88.30%
Temperatura: 23.20°C | Umidade: 87.00%
Temperatura: 23.20°C | Umidade: 85.50%
Temperatura: 23.30°C | Umidade: 84.30%
Temperatura: 23.30°C | Umidade: 83.50%
Temperatura: 23.40°C | Umidade: 82.50%
Temperatura: 23.40°C | Umidade: 81.90%
Temperatura: 23.50°C | Umidade: 81.20%
Temperatura: 23.50°C | Umidade: 80.80%
Temperatura: 23.60°C | Umidade: 80.50%
Temperatura: 23.60°C | Umidade: 80.20%
Temperatura: 23.70°C | Umidade: 79.70%
Temperatura: 23.70°C | Umidade: 79.30%
Temperatura: 23.70°C | Umidade: 78.80%
Temperatura: 23.80°C | Umidade: 78.40%
Temperatura: 23.90°C | Umidade: 78.00%
Temperatura: 23.90°C | Umidade: 77.70%
Temperatura: 24.00°C | Umidade: 77.40%
Temperatura: 24.00°C | Umidade: 77.10%
Temperatura: 24.10°C | Umidade: 76.90%
Temperatura: 24.10°C | Umidade: 76.50%
Temperatura: 24.20°C | Umidade: 76.30%
Temperatura: 24.20°C | Umidade: 76.00%
Temperatura: 24.30°C | Umidade: 75.80%
Temperatura: 24.30°C | Umidade: 75.50%
Temperatura: 24.30°C | Umidade: 75.30%
Temperatura: 24.40°C | Umidade: 75.00%
Temperatura: 24.40°C | Umidade: 74.70%
Temperatura: 24.50°C | Umidade: 74.50%
Temperatura: 24.50°C | Umidade: 74.20%
Temperatura: 24.60°C | Umidade: 74.10%
Temperatura: 24.60°C | Umidade: 74.10%
Temperatura: 24.60°C | Umidade: 74.10%
Temperatura: 24.70°C | Umidade: 74.10%
Temperatura: 24.70°C | Umidade: 74.10%
Temperatura: 24.80°C | Umidade: 74.00%
Temperatura: 24.80°C | Umidade: 74.00%
Temperatura: 24.90°C | Umidade: 73.80%
Temperatura: 24.90°C | Umidade: 73.60%
Temperatura: 24.90°C | Umidade: 73.50%
Temperatura: 25.00°C | Umidade: 73.40%
